categoryName,created,articleId,articleName,description
Hedge Margin,2021-04-05 10:46:52,272, How will you get hedge margin benefit?,"With effect from 1st June 2020, NSE’s new Margin Policy Framework has structurally changed how margins are calculated. The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).                                                                                                      E.G. if you sell nifty futures and buy a call option to hedge.\n\nSell Nifty Future at 14500\nBuy NIFTY CE of strike price 14500\n\nRequired margin for this strategy: \nSpan Margin                        0.00\nExposure Margin                 21784.88\nTotal Amount Required        21784.88\nMargin Benefit                     141645.0""}' :11pt;font-family:-style:normal;"">With effect from 1st June 2020, NSE&rsquo;s new Margin Policy Framework has structurally changed how margins are calculated. The reduction in the margin requirement for several hedged options strategies with the least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position). &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; With effect from 1st June 2020, NSE’s new Margin Policy Framework has structurally changed how margins are calculated. The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).                                                                                                      E.G. if you sell nifty futures and buy a call option to hedge.\n\nSell Nifty Future at 14500\nBuy NIFTY CE of strike price 14500\n\nRequired margin for this strategy: \nSpan Margin                        0.00\nExposure Margin                 21784.88\nTotal Amount Required        21784.88\nMargin Benefit                     141645.0""}' :11pt;font-family:-style:normal;"">Example: If you sell nifty futures and buy a call option to hedge.<br><br>Sell Nifty Future at 14500<br>Buy NIFTY CE of strike price 14500<br><br>The required margin for this strategy: <br>Span Margin &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;0.00<br>Exposure Margin &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 21784.88<br>Total Amount Required &nbsp; &nbsp; &nbsp; &nbsp;21784.88<br>Margin Benefit &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 141645.0<br><span data-sheets-userformat='{""2"":9089,""3"":{""1"":0},""10"":1,""11"":4,""12"":0,""16"":11}' data-sheets-value='{""1"":2,""2"":""With effect from 1st June 2020, NSE’s new Margin Policy Framework has structurally changed how margins are calculated. The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).                                                                                                      E.G. if you sell nifty futures and buy a call option to hedge.\n\nSell Nifty Future at 14500\nBuy NIFTY CE of strike price 14500\n\nRequired margin for this strategy: \nSpan Margin                        0.00\nExposure Margin                 21784.88\nTotal Amount Required        21784.88\nMargin Benefit                     141645.0""}' :11pt;font-family:-style:normal;"">For more details please find below the Youtube videos:&nbsp;<h1 ""margin: 0px; padding: 0px; border: 0px; background: rgb(249, 249, 249); display: block; max-height: calc(2 * var(--yt-navbar-title-line-height, 2.4rem)); overflow: hidden; font-weight: 400; line-height: var(--yt-navbar-title-line-height, 2.4rem); color: var(--ytd-video-primary-info-renderer-title-color, var(--yt-spec-text-primary)); font-family: Roboto, , sans-serif; : var(--ytd-video-primary-info-renderer-title-, var(--yt-navbar-title-, inherit)); font-variant-ligatures: normal; font-variant-caps: normal; font-variant-numeric: ; font-variant-east-asian: ; transform: var(--ytd-video-primary-info-renderer-title-transform, none); text-shadow: var(--ytd-video-primary-info-renderer-title-text-shadow, none); : normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial;"">How to avail the benefit of hedge margin on option selling in Shoonya web:&nbsp;</h1><span data-sheets-userformat='{""2"":9089,""3"":{""1"":0},""10"":1,""11"":4,""12"":0,""16"":11}' data-sheets-value='{""1"":2,""2"":""With effect from 1st June 2020, NSE’s new Margin Policy Framework has structurally changed how margins are calculated. The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).                                                                                                      E.G. if you sell nifty futures and buy a call option to hedge.\n\nSell Nifty Future at 14500\nBuy NIFTY CE of strike price 14500\n\nRequired margin for this strategy: \nSpan Margin                        0.00\nExposure Margin                 21784.88\nTotal Amount Required        21784.88\nMargin Benefit                     141645.0""}' :11pt;font-family:-style:normal;""><a href=""https://www.youtube.com/watch?v=hsn2laV8XkU"">https://www.youtube.com/watch?v=hsn2laV8XkU</a><br><h1 ""margin: 0px; padding: 0px; border: 0px; background: rgb(249, 249, 249); display: block; max-height: calc(2 * var(--yt-navbar-title-line-height, 2.4rem)); overflow: hidden; font-weight: 400; line-height: var(--yt-navbar-title-line-height, 2.4rem); color: var(--ytd-video-primary-info-renderer-title-color, var(--yt-spec-text-primary)); font-family: Roboto, , sans-serif; : var(--ytd-video-primary-info-renderer-title-, var(--yt-navbar-title-, inherit)); font-variant-ligatures: normal; font-variant-caps: normal; font-variant-numeric: ; font-variant-east-asian: ; transform: var(--ytd-video-primary-info-renderer-title-transform, none); text-shadow: var(--ytd-video-primary-info-renderer-title-text-shadow, none); : normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial;"">How to avail the benefit of Hedge Margin on Shoonya Web:</h1><span data-sheets-userformat='{""2"":9089,""3"":{""1"":0},""10"":1,""11"":4,""12"":0,""16"":11}' data-sheets-value='{""1"":2,""2"":""With effect from 1st June 2020, NSE’s new Margin Policy Framework has structurally changed how margins are calculated. The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).The reduction in the margin requirement for several hedged options strategies with least risk potential has been reduced to almost 70% of what was required earlier(depending upon the position).                                                                                                      E.G. if you sell nifty futures and buy a call option to hedge.\n\nSell Nifty Future at 14500\nBuy NIFTY CE of strike price 14500\n\nRequired margin for this strategy: \nSpan Margin                        0.00\nExposure Margin                 21784.88\nTotal Amount Required        21784.88\nMargin Benefit                     141645.0""}' :11pt;font-family:-style:normal;""><a href=""https://youtu.be/LEOChSxEWns"">https://youtu.be/LEOChSxEWns</a>"
Hedge Margin,2021-04-05 10:46:52,273,What is Trade Level Hedge Benefit?,"<span data-sheets-userformat='{""2"":9089,""3"":{""1"":0},""10"":1,""11"":4,""12"":0,""16"":11}' data-sheets-value='{""1"":2,""2"":""As for trade level, full margin is required for making hedged positions. After positions are opened, margin will be released.""}' :11pt;font-family:-style:normal;"">As for trade level, full margin is required for making hedged positions. After positions are opened, margin will be released. "
Hedge Margin,2021-04-05 10:46:52,274,Will i get Hedge margin benefit only for overnight position trades? ,"<span data-sheets-userformat='{""2"":9089,""3"":{""1"":0},""10"":1,""11"":4,""12"":0,""16"":11}' data-sheets-value='{""1"":2,""2"":""You will get hedge margin benefits on both intraday and overnight positions trades.""}' :11pt;font-family:-style:normal;"">You will get hedge margin benefits on both intraday and overnight position trades. For getting hedging margin benefit you need to place an order in the &quot;MARGIN&quot; product type.&nbsp;"
Hedge Margin,2021-04-05 10:46:52,310,What is a short margin? when it will occur?,"<span ""color: rgb(68, 68, 68); font-family: Inter, sans-serif; : 16px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; text-align: left;"">When trades performed without sufficient margin (SPAN and Exposure<span ""color: rgb(68, 68, 68); font-family: Inter, sans-serif; : 16px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">&nbsp;for F&amp;O and VAR+ELM+Adhoc for equity), net buy premium, physical delivery margins and marked to market losses (if applicable)<span ""color: rgb(68, 68, 68); font-family: Inter, sans-serif; : 16px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; text-align: left;"">&nbsp;as prescribed by the exchange.&nbsp;<span ""color: rgb(0, 0, 0); font-family: ; : 14.6667px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 248, 242); text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">In case of a margin shortfall for the first time, the trader will be charged 1% of the amount. <span ""color: rgb(0, 0, 0); font-family: ; : 14.6667px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 248, 242); text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">However, if a trader fails to maintain the margin amount three times in a month, then 5% of the amount will be charged."
Hedge Margin,2021-04-05 10:46:52,377,How to get hedge benefit in basket order?,"In basket order you need to provide margin as per your highest margin orders. Once the orders executed, you will get hedging margin benefits and additional margin will be released"
Hedge Margin,2021-04-05 10:46:52,387,Do we have allowed pledging against MF?,"--Yes you can pledge mutual funds to get the collateral margin. Below is the link to know about the list of approved Mutual Funds for collateral margins:<a href=""https://docs.google.com/spreadsheets/d/1Fl2OyRfaVOgygaMMs08ObsZYYP9sx8u8woM4cJiFx5E/edit#gid=0"">https://docs.google.com/spreadsheets/d/1Fl2OyRfaVOgygaMMs08ObsZYYP9sx8u8woM4cJiFx5E/edit#gid=0</a>"
Share Transfer,2021-04-23 07:24:57,326,What is the procedure for re-materialization of shares?,"Rematerialisation is the process by which a client can get his electronic holdings converted into physical certificates.The client has to submit the rematerialisation request to the DP with whom he has an account. The DP enters the request in its system which blocks the client&#39;s holdings to that extent automatically. The DP releases the request to CDSL and sends the request form to the Issuer/ R&amp;T agent. The Issuer/ R&amp;T agent then prints the certificates, dispatches the same to the client and simultaneously electronically confirms the acceptance of the request to CDSL. Thereafter, the client&#39;s blocked balances are debited."
Share Transfer,2021-04-23 07:24:57,329,How do I transfer shares from another DEMAT account to my Finvasia DEMAT?,You can transfer shares from your other Demat account to Finvasia account through various ways:&nbsp;<strong>1. Through DIS (Delivery Instruction Slip):</strong> You can transfer your holdings by filling DIS. In beneficiary you need to fill your DP details of Finvasia and submit it to your old broker. <br><strong>2. Through CDSL EASIEST:&nbsp;</strong>You can also transfer your holdings through CDSL easiest.&nbsp;
Share Transfer,2021-04-23 07:24:57,332,What is DP ID and BOID?,"<b ""color: rgb(32, 33, 36); font-family: , sans-serif; : 16px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><strong>BOID</strong></b><span ""color: rgb(32, 33, 36); font-family: , sans-serif; : 16px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">&nbsp;is Beneficial Owner Identification Number or Demat Account Number which is of 16 digits consisting of 08 digits DP ID and 08 digits Client ID.&nbsp;<span ""color: rgb(68, 68, 68); font-family: Inter, sans-serif; : 16px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">It is unique for every client.<span 'color: rgb(33, 37, 41); font-family: ""Source Sans Pro"
Share Transfer,2021-04-23 07:24:57,344,What are the charges for converting physical shares into Demat?,Rs 15 per certificate + 99 courier charges.</em>
Share Transfer,2021-04-23 07:24:57,472,"If I have multiple demat accounts with different brokers, how do I see my holdings across the 3 brokers on CDSL's easiest platform?",<strong>-</strong>You can register on the &quot;CDSL easi&quot; facility and link all your demat accounts with different brokers in it. This access is for view only. You can not do any share transfer or any other transaction in it.You can view all your holdings across all the demat accounts.
Share Transfer,2021-04-23 07:24:57,561,Can I dematerialize shares held by a single owner in a joint demat account?,"Physical shares held by a single holder cannot be dematerialized in a joint demat account. To dematerialize shares, the name on the share certificate should match the name on the demat account."
Back Office,2021-04-23 09:55:47,330,"Where I can check my financial ledger, PNL report?","You can check all reports in our back office. Please find below link: &nbsp;<u><a href=""https://backoffice.finvasia.com/CAP/index.jsp"">https://backoffice.finvasia.com/CAP/index.jsp</a></u>Login id - Client codePassword - Enter password (If you do not remember, can reset the password by click on forgot password)You can check contract notes, financial ledger, holdings, balance, Profit &amp; Loss Statement, and other important reports.&nbsp;"
Back Office,2021-04-23 09:55:47,347,What is the difference between Date and value date in the back office?,"In your financial ledger, there are 2 options: One is DATE and another is VALUE DATE<em><strong>Date -&nbsp;</strong><em>The timestamp for when the&nbsp;<em><strong>transaction</strong><em><strong>&nbsp;</strong><em>is created in the system.<em><strong>Value date:</strong><em>&nbsp;<em>A value date is a future date that is used for determining the present value of a product or security that fluctuates in price. It is the date at which funds, assets or money&#39;s value becomes effective.<em>&nbsp;"
Back Office,2021-04-23 09:55:47,356,How do I log in to the back-office and its overview?,"Here is the link for the Back office <u><a href=""https://backoffice.finvasia.com/CAP/index.jsp"">https://backoffice.finvasia.com/CAP/index.jsp</a></u>Please select Client log-in and financial year.Login id - Client codePassword - Enter password (You can also follow forgot password link)<br>Please find the below link of the back-office overview:&nbsp;<a href=""https://www.youtube.com/watch?v=757615gjKx8&t=70s"">https://www.youtube.com/watch?v=757615gjKx8&amp;t=70s</a>"
Back Office,2021-04-23 09:55:47,370,How to check realized profit and loss or tax report in back office?,"Please find below steps to get Tax report in the Back office:1. Please login to our back office<a href=""https://backoffice.finvasia.com/CAP/"">https://backoffice.finvasia.com/CAP/</a>2. Click on &quot; Long term / Short term Report&quot;.3. Select date range and view.-You can also view and download your segment-wise Financial ledger, Net position, and Trade confirmation report.You can also download your Tax report in Excel.Please find below the Youtube link :&nbsp;<a href=""https://www.youtube.com/watch?v=b__nlgV79NE"">https://www.youtube.com/watch?v=b__nlgV79NE</a><br>"
Back Office,2021-04-23 09:55:47,405,How to check the buy price of the holding and positions in Shoonya?,"--You can check the average buy price of your holdings in the &ldquo;Holding&rdquo; tab in Shoonya.--For derivative segments, you can check the average buy/sell price of your carry positions in your back office in contract note, trade confirmation, or in net positions."
Back Office,2021-04-23 09:55:47,453,How to download Contract Notes from Back Office?,"<span ""color: rgb(76, 76, 75); font-family: Graphik-Regular; : 15px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 248, 242); text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">Please find below the YouTube video link of &quot;How to download Contract Notes from Back Office&quot; -<span ""color: rgb(76, 76, 75); font-family: Graphik-Regular; : 15px; : normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(250, 248, 242); text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><a href=""https://www.youtube.com/watch?v=wjs6UmAnnGM"">https://www.youtube.com/watch?v=wjs6UmAnnGM</a>"
Back Office,2021-04-23 09:55:47,458,"Brief overview for back-office options like what is the ledger balance, less margin, and net balance?","When you logged in to your back office on the dashboard there are few options:<strong>1. Ledger Balance: -&nbsp;</strong>The Ledger balance shows the balance available in your ledger report after setting off the trade amount, i.e., after setting off the outstanding dues against the available balance, the total balance shown is your ledger balance.<strong>2. Less Margin: -&nbsp;</strong>This is the margin which you are using in your derivatives position.&nbsp;<strong>3. Net Balance: -&nbsp;</strong>Net balance is the difference between Ledger balance and less margin.Net balance = (Ledger Margin &ndash; Less margin)"
Back Office,2021-04-23 09:55:47,465,What is consolidated crystallized obligation?,This column shows the sum of MTM losses if any in the respective segment in the daily margin statement.
Back Office,2021-04-23 09:55:47,467,How to figure out how many shares are pledged of a particular scrip?,"You can see your pledged stock from the back-office under Demat holdings (beneficiary + depository) head. There you can see all your DP details like Pledge stocks, Pledge Value, Var, DP lock stocks, quantity, and var percentage of the scrip.You can also check your pledged margin in Shoonya, it will reflect under your limits as &quot;Collaterals&quot; and &#39;MF Collaterals&quot;."
Back Office,2021-04-23 09:55:47,471,What is the difference between JOBBING & SHORT TERM profit and loss?,"<strong>Jobbing</strong><strong>&nbsp;</strong>is like the buying and selling of shares or securities especially on small scale with the intention of generating quick profit. Buying or Selling of security and then immediately buying it back or selling it back for a quick profit. <strong>Example</strong>: In the case of intra-day trading in shares, there is no actual delivery as the shares enter and exit from the trading account on the same date and it does not enter the DEMAT account at all. Intra-day trading is the trading of shares within the same day. Generally, the delivery is not taken in the case of intra-day trading. Thus, they are called speculative transactions. Therefore, based on the definition it can be inferred that intra-day trading income is speculative income.<strong>Short-term Profit/loss:</strong><strong>&nbsp;</strong>Shares that are listed on a recognized stock exchange and have been held for less than 12 months are treated as short-term capitals. The proceeds earned through them are treated as short-term capital gains and are liable for taxation."
Back Office,2021-04-23 09:55:47,529,Why do Back-office and Shoonya show different balances?,"There can be some difference in the balances of Back-office and Shoonya due to pay-in, payouts, and trade settlement posting.It will be updated as per the settlement date of funds and trades."
Back Office,2021-04-23 09:55:47,531,How to update the buying price of transferred shares?,"Whenever you transfer shares from a different Demat account, we wouldn&rsquo;t know the price at which the stocks were bought, so we have made it easier for you to see the investment values of your portfolio by letting you add the average prices and the date of purchase for the transferred Stocks.<ol><li>Here are the steps you need to follow for updating the prices:</li><li>1. Log in to your Back office.</li><li>2. Select segment Capital.</li><li>3. Go to reports</li><li>4. Click on Short/Long term Profit/Loss Report</li><li>5. Click on &quot;Enter Opening Stock&quot;.</li><li>6. You can enter the quantity, price, and date of purchase.</li><li>7. Select remarks as Opening, Split, or bonus.</li><li>8. Save</li></ol>"
Back Office,2021-04-23 09:55:47,636,How to do E-voting in CDSL through Shoonya by Finvasia?,"In the normal course of business, companies introduce various resolutions related to corporate policies, board appointments, corporate actions, etc.; shareholders must approve that. Shareholders of the company can vote on these resolutions to either approve or reject them. All shareholders that hold the shares of the companies on the record date are eligible to vote.<br>E-Voting is a mechanism through which security holders of companies can vote on resolutions electronically anywhere and at any time during the voting period through the electronic voting system developed by NSDL and CDSL.&nbsp;Shoonya by Finvasia has made the e-voting process simple for shareholders by providing access to CDSL&#39;s e-voting system. Please find the below video link of &quot;How to do E-voting in CDSL through Shoonya by Finvasia&quot;?<a href=""https://youtu.be/kb1cKIvbQpU"">https://youtu.be/kb1cKIvbQpU</a> (E-voting English)<a href=""https://youtu.be/sjwwQex4zSo"">https://youtu.be/sjwwQex4zSo</a> (E-voting Hindi)"
APIs,2022-01-17 10:18:32,504,What is Trading API?,"A Trading API allows the trader to write their own computer programs for trading or using the third-party trading platform. Trading APIs are for traders who wish to run algorithmic models on their own trading systems, receive real-time pricing, and perform trades.The algo trading APIs help traders in building their own customized trading application. Traders can execute orders in real-time, manage user portfolios, stream live market data, and much more, with Trading API."
APIs,2022-01-17 10:18:32,505,What types of APIs are provided by Finvasia?,"Currently, we provide the below APIs:1. Python API2. Dot net API3. Node.JS"
APIs,2022-01-17 10:18:32,506,What are the charges of using the Shoonya developer's APIs?,There are no charges for using the Shoonya developer&#39;s APIs.
APIs,2022-01-17 10:18:32,507,What are the benefits of using Shoonya developer APIs?,Finvasia APIs benefits:1. Allows customization of the trading platform as per user needs.2. Users get access to data that enables them to trade at their convenience.3. Users can build their own trading platforms.4. Automate your trades with custom entry and exit conditions.5. Real-time order execution.6. Market Snapshot and live market feed.7. Zero brokerage cost for all the trades.8. Zero charges for using APIs.
APIs,2022-01-17 10:18:32,508,Can I integrate Amibroker with Finvasia APIs?,"Yes, you can integrate Amibroker with our APIs without any charges.Please find below the link of &quot;How to Integrate Amibroker with Shoonya&quot;:-<a href=""https://youtu.be/TXApp6GUDSQ"">https://youtu.be/TXApp6GUDSQ</a>"
APIs,2022-01-17 10:18:32,509,Where I can contact for APIs support?,"You can email us all your APIs queries at <span lang=""zxx""><u><a href=""mailto:apisupport@finvasia.in"
APIs,2022-01-17 10:18:32,510,How to get Started with Shoonya Developer API?,"You need to have an active Trading account with Finvasia to generate the API Authentication keys. You can begin the integration of different trading APIs using the keys.Get started with using our APIs, detailed documentation for each of the APIs are available for reference on :<a href=""https://finvasia.com/shoonya-api"">https://finvasia.com/shoonya-api</a><br>Please find the below YouTube link of &quot;Overview of Shoonya Developer APIs&quot;: -<a href=""https://youtu.be/k0RLjpQmYZY"">https://youtu.be/k0RLjpQmYZY</a>"
APIs,2022-01-17 10:18:32,511,How to generate or get an API key?,"<h4>Following Steps are needed to be followed for API key generation: -</h4>1. log in to your PRISM portal.<span lang=""zxx""><u><a href=""https://prism.finvasia.com/"
APIs,2022-01-17 10:18:32,512,How long does it take to activate an API subscription?,"Once you subscribed to the API, you will be able to start using API instantly."
APIs,2022-01-17 10:18:32,513,Will I be able to place orders in Derivative segments?,Our APIs are available for the below-given segments:1. Equity2. Equity derivatives3. Currency4. Commodities
APIs,2022-01-17 10:18:32,514,Can we place orders from Finvasia Shoonya Developer APIs?,"Yes, you can place, cancel &amp; modify orders from our APIs."
APIs,2022-01-17 10:18:32,515,Are bracket and cover orders available in Finvasia APIs?,"Yes, our APIs allow us to Place/Modify/Cancel a Cover/Bracket order."
APIs,2022-01-17 10:18:32,516,I am facing an issue with placing orders while running 2 python programs in parallel. It is executing orders only for the latest program whereas throwing an error for the 1st program.,You can use 1 API at one time. The session of the first login will be expired if you logged in to the second session.
APIs,2022-01-17 10:18:32,518,"How can I get market status of NSE, BSE and NFO to know if the exchanges are open before placing orders?","Presently, it is not available in the API."
