Question,Answer,,,,,,
How will you get a hedge margin benefit?,"With effect from 1st June 2020, NSE’s new Margin Policy Framework has structurally changed how margins are calculated. The reduction in margin requirement for several hedged options strategies with the least risk potential has been reduced to almost 70% of what was required earlier(depending on the position).  Example: If you sell nifty futures and buy a call option to hedge. Sell Nifty Future at 14500 Buy NIFTY CE of strike price 14500.  Span Margin: 0.00 Exposure Margin : 21784.88 Total Amount Required : 21784.88  Margin Benefit: 141645.0",,,,,,
What is Trade Level Hedge Benefit?,"As for trade level, a full margin is required for making hedged positions. After positions are opened, the margin will be released.",,,,,,
Will I get a Hedge margin benefit only for overnight position trades?,"You will get hedge margin benefits on both intraday and overnight position trades. To get a hedging margin benefit, you need to place an order in the ""NRML"" product type. ",,,,,,
What is a short margin? when it will occur?,"When trades are performed without sufficient margin (SPAN and Exposure for F&O and VAR+ELM+Adhoc for equity), net buy premium, physical delivery margins and marked-to-market losses (if applicable) as prescribed by the exchange. In case of a margin shortfall for the first time, the trader will be charged 1% of the amount. However, if a trader fails to maintain the margin amount three times a month, 5% of the amount will be charged.",,,,,,
How to get hedge benefit in basket order?,"In basket orders, you need to provide a margin as per your highest margin orders. Once the orders are executed, you will get hedging margin benefits, and additional margin will be released.",,,,,,
Do we have allowed pledging against MF?,"--Yes, you can pledge mutual funds to get the collateral margin. Below is the link to learn about the list of approved Mutual Funds for collateral margins: https://docs.google.com/spreadsheets/d/1Fl2OyRfaVOgygaMMs08ObsZYYP9sx8u8woM4cJiFx5E/edit#gid=0
What", which blocks the client's holdings to that extent automatically. The DP releases the request to CDSL and sends the request form to the Issuer/ R&T agent. The Issuer/ R&T agent then prints the certificates, dispatches the same to the client and simultaneously electronically confirms the acceptance of the request to CDSL. Thereafter," the client's blocked balances are debited.""",,,
How do I transfer shares from another DEMAT account to my Shoonya DEMAT?,"You can transfer shares from your other Demat account to your Finvasia account through various ways: 1. Through DIS (Delivery Instruction Slip): You can transfer your holdings filling in DIS. In beneficiary, you need to fill in your DP details of Shoonya and submit them to your old broker.2. Through CDSL EASIEST: You can also transfer your holdings through CDSL easiest. ",,,,,,
What is DP ID and BOID?,BOID is Beneficial Owner Identification Number or Demat Account Number which is of 16 digits consisting of 08 digits DP ID and 08 digits Client ID. It is unique for every client. You can get your BOID from the back office or PRISM. ,,,,,,
What are the charges for converting physical shares into Demat?,Charges are Rs 15 per certificate + 99 courier charges.,,,,,,
"If I have multiple demat accounts with different brokers,  how do I see my holdings across the 3 brokers on CDSL's easiest platform?
","You can register on the ""CDSL easi"" facility and link all your demat accounts with different brokers in it. This access is for view only. You can not do any share transfer or any other transaction in it. You can view all your holdings across all the dem",,,,,,
Can I dematerialise shares held by a single owner in a joint demat account?,"Physical shares held by a single holder cannot be dematerialised in a joint demat account. To dematerialise shares, the name on the share certificate should match the name on the demat account.",,,,,,
Where can I check my financial ledger PNL report?,"You can check all reports in our back office. Please find the link below:   https://reports.shoonya.com/ Login ID - <Client code> Password - Enter a password (If you do not remember, you can reset the password by clicking on forgot password) You can check contract notes, financial ledger, holdings, balance, Profit and loss Statements, and other important reports. ",,,,,,
What is the difference between the Date and value date in the back office?,"In your financial ledger, there are 2 options: One is DATE, and another is VALUE DATE.Date - The timestamp for when the transaction is created in the system.Value date: A value date is a future date that is used for determining the present value of a product or security that fluctuates in price. It is the date at which funds, assets, or money's value becomes effective. ",,,,,,
How do I log in to the back office and its overview?,Here is the link for the Back office: https://reports.shoonya.com/ Please select Client log-in and financial year. Password - Enter Password (You can also follow forgot password link) Please find the below link to the back-office overview: https://www.youtube.com/watch?v=757615gjKx8&t=70s,,,,,,
How to view and download the profit and loss report?,"Please find below the steps to get the profit & loss report - 1. Please log in to our back office : https://reports.shoonya.com 2. Click on ""P&L Report"". 3. Select the date range. 4. You can view and download the report in Excel & PDF. Please find the video below for more details -  Overview of the New Back Office Portal (Hindi) - https://www.youtube.com/watch?v=47D5vlqduwo",,,,,,
How do you check the purchase price of the holdings and positions in Shoonya?,"you can check the average buy price of your holdings in the “Holding” tab in Shoonya.  for derivative segments, you can check the average buy/sell price of your carry positions  your back office in contract note, trade confirmation, or in net positions.",,,,,,
How do you download contract notes from the back office?,"Please find below the YouTube video link of ""How to download Contract Notes from Back Office."" - https://www.youtube.com/watch?v=wjs6UmAnnGM",,,,,,
"Brief overview for back-office options like what is the ledger balance, less margin, and net balance?","When you log in to your back office on the dashboard, there are a few options: 1. Ledger Balance: - The Ledger balance shows the balance available in your ledger report after setting off the trade amount, i.e., after setting off the outstanding dues against the available balance, the total balance shown in your ledger balance.2. Less Margin: - This is the margin you use in your derivatives position.  3. Net Balance: - Net balance is the difference between Ledger balance and less margin. Net balance = (Ledger Margin – Less margin)",,,,,,
What is a consolidated crystallised obligation?,"This column shows the sum of MTM losses, if any, in the respective segment in the daily margin statement.",,,,,,
How do we figure out how many shares are pledged of a particular scrip?,"You can see your pledged stock from the back office under the Demat holdings (beneficiary + depository) head. There, you can see all your DP details like Pledge stocks, Pledge Value, Var, DP lock stocks, quantity, and var percentage of the scrip. You can also check your pledged margin in Shoonya; it will reflect under your limits as ""Collaterals"" and 'MF Collaterals"".",,,,,,
What is the difference between JOBBING & SHORT TERM profit and loss?,"Jobbing is like the buying and selling of shares or securities, especially on a small scale, with the intention of generating quick profit. Buying or Selling of security and then immediately buying it back or selling it back for a quick profit. Example: In the case of intra-day trading in shares, there is no actual delivery as the shares enter and exit from the trading account on the same date, and it does not enter the DEMAT account at all. Intra-day trading is the trading of shares within the same day. Generally, the delivery is not taken in the case of intra-day trading. Thus, they are called speculative transactions. Therefore, based on the definition, it can be inferred that intra-day trading income is speculative income. Short-term Profit/loss: Shares that are listed on a recognised stock exchange and have been held for less than 12 months are treated as short-term capital. The proceeds earned through them are treated as short-term capital gains and are liable for taxation.",,,,,,
Why do the back office and Shoonya show different balances?,"There can be some differences in the balances of the Back-office and Shoonya due to pay-in, payouts, and trade settlement posting. It will be updated as per the settlement date of funds and trades.",,,,,,
How do we update the buying price of transferred shares?,"When you transfer shares from another Demat account, we may not have information about the prices at which those stocks were originally bought. To make it convenient for you to track the value of your investments, we allow you to input the average prices and purchase dates for these transferred stocks. Here are the simple steps to follow: 1. Log in to your Back Office: Visit https://reports.shoonya.com/ and open the P&L Report Tab from the dashboard. 2. Select a Date Range: In the Equity PL section, click on the Date Range Flag and choose the desired date range. 3. Access Stock Entry: Click on the Stock Entry tab located on the right side of the screen. 4. Search for the Scrip Name: Enter the name of the scrip (stock) you want to update. 5. Add Scrip Details: Provide the necessary details for the scrip, including quantity, price, and date of purchase. 6. Update Scrip Record: Review the information you've entered on the right side of the screen and ensure it's accurate. 7. Save Data: Click on the ""Record Added"" tab. A new tab will open. If you notice any incorrect data, you can remove it before saving. Note: Once you've updated the information in the back office, please allow up to 24 working hours for the changes to reflect in Shoonya.",,,,,,
How to do E-voting in CDSL through Shoonya by Finvasia?,"In the normal course of business, companies introduce various resolutions related to corporate policies, board appointments, corporate actions, etc.; shareholders must approve that. Shareholders of the company can vote on these resolutions to either approve or reject them. All shareholders that hold the shares of the companies on the record date are eligible to vote. E-voting is a mechanism through which security holders of companies can vote on resolutions electronically anywhere and at any time during the voting period through the electronic voting system developed by NSDL and CDSL. Shoonya by Finvasia has simplified the e-voting process for shareholders by providing access to CDSL's e-voting system. Please find the video link below of ""How to do E-voting in CDSL through Shoonya by Finvasia""? https://youtu.be/kb1cKIvbQpU (E-voting English)    https://youtu.be/sjwwQex4zSo (E-voting Hindi)
What is Trading API?,A Trading API allows the trader to write their own computer programs for trading or using the third-party trading platform. Trading APIs are for traders who wish to run algorithmic models on their own trading systems", receive real-time pricing, and perform trades. The algo trading APIs help traders in building their own customized trading application. Traders can execute orders in real-time, manage user portfolios, stream live market data, and much more, with Trading API.
What types of APIs are provided by Finvasia?,"Currently, we provide the below APIs: 1. Python API 2. Dot net API 3. Node.JS
What are the charges of using the Shoonya developer's APIs?,There are no charges for using the Shoonya developer's APIs.
What are the benefits of using Shoonya developer APIs?,Finvasia APIs benefits: 1. Allows customization of the trading platform as per user needs. 2. Users get access to data that enables them to trade at their convenience. 3. Users can build their own trading platforms. 4. Automate your trades with custom entry and exit conditions. 5. Real-time order execution. 6. Market Snapshot and live market feed. 7. Zero brokerage cost for all the trades. 8. Zero charges for using APIs.",,,,,,
Can I integrate Amibroker with Finvasia APIs?,"Yes, you can integrate Amibroker with our APIs without any charges. Please find below the link of ""How to Integrate Amibroker with Shoonya"":- https://youtu.be/TXApp6GUDSQ
Where I can contact for APIs support?,You can email us all your APIs queries at apisupport@finvasia.in""",,,,,,
How to get Started with Shoonya Developer API?,"You need to have an active Trading account with Finvasia to generate the API Authentication keys. You can begin the integration of different trading APIs using the keys. Get started with using our APIs, detailed documentation for each of the APIs are available for reference on : https://finvasia.com/shoonya-api Please find the below YouTube link of ""Overview of Shoonya Developer APIs"": - https://youtu.be/k0RLjpQmYZY",,,,,,
How to generate or get an API key?,"Following Steps are needed to be followed for API key generation: - 1. log in to your PRISM portal. https://prism.finvasia.com/ 2. Click on “API Key” available on the top right. 3. Generate an API key 4. Copy and paste the API key to your software.
Please find below the YouTube video link of ""How to generate or get an API key from PRISM"" -  https://youtu.be/YbD-NDKGm-I",,,,,,
How long does it take to activate an API subscription?,"Once you subscribed to the API, you will be able to start using API instantly.",,,,,,
Will I be able to place orders in Derivative segments?,Our APIs are available for the below-given segments: 1. Equity 2. Equity derivatives 3. Currency 4. Commodities,,,,,,
Can we place orders from Finvasia Shoonya Developer APIs?,"Yes, you can place, cancel & modify orders from our APIs.",,,,,,
Are bracket and cover orders available in Finvasia APIs?,"Yes, our APIs allow us to Place/Modify/Cancel a Cover/Bracket order.",,,,,,
I am facing an issue with placing orders while running 2 python programs in parallel. It is executing orders only for the latest program whereas throwing an error for the 1st program.,You can use 1 API at one time. The session of the first login will be expired if you logged in to the second session.,,,,,,
How can I place a basket order in APIs?,"You need to call API to place order, you could group them using remarks field.",,,,,,
What happens if i logged in using API and did not logout due to network interruption?,Session will be valid till EOD or subsequent login.,,,,,,
How can i calculate margin for my positions? Whether I would need a code or function to integrate into my account or at least the formula to calculate margin in my code?,You have to make the API Limits method call to get the limits and margin used.,,,,,,
How to get the list of all instruments along with their token numbers through the Python API requests?,Please find the below link to get the list of all instruments along with their token numbers: https://github.com/Shoonya-Dev/ShoonyaApi-py/blob/master/tests/test_download_masters.py,,,,,,
What is the symbol format for the BankNifty option in API?,The Trade Symbol for BankNifty options will be SymbolDDMYYOptionTypeStrike. For Example- BANKNIFTY17FEB22P38600,,,,,,
What is the Command to Install the Libraries in Python?,Please run the below command to install libraries in your Python API: py -m pip install -r requirements.txt,,,,,,
What type of historical data I can check in APIs and how to fetch it?,There are 2 types of historical data: 1. get_time_price_series : 2. get_daily_price_series. Please find below the link of How to fetch historical data in APIs: - https://github.com/Shoonya-Dev/ShoonyaApi-py#md-get_time_price_series,,,,,,
What is the vendor Code in API?,The vendor code will be your Client Code_U  For Examples FA12345_U,,,,,,
What is the IMEI number in API?,You can set any default values like your device id/ MAC ID or any other value as per your choice in the program as an IMEI number. For example abc1234,,,,,,
How to call get position and getMTM for API trading?,Please check the code in the below link: https://github.com/Shoonya-Dev/ShoonyaApi-py#md-get_orderbook,,,,,,
"Can I get 5 min candle OHLC, RSI, and ADI from the API?","We provide 5 min data in OHLC (Open, High, Low & Close). RSI and ADI are technical indicators and we do not provide the same.",,,,,,
What is the Product Type for Intraday (MIS) in NSE Cash in API?,"You need to pass ""I"" in the API program for Intraday in the NSE Cash market.",,,,,,
What is the product Type for Delivery (CNC) in NSE Cash Market in API?,"You need to pass ""C"" in the API program for Delivery (CNC) in the NSE Cash market.",,,,,,
What is the Product Type for Intraday (MIS) in NSE Options?,"You need to pass ""M"" in the API program for Intraday (MIS) in the NSE options.",,,,,,
What is the maximum number of tokens that I can subscribe to in the WebSocket?,There are no such restrictions.,,,,,,
How to close the WebSocket?,"Please refer to ""Example_market"".",,,,,,
What are the types of feed available in the WebSocket?,"There are three types of feeds: - Depth, Order & Authline.",,,,,,
What is the frequency of the feed in WebSocket?,The frequency will be the same as provided by Exchange.,,,,,,
What are the types of feed available in the WebSocket?,"There are three types of feeds: - Depth, Order & Authline.",,,,,,
I tried python code to connect WebSocket with bank nifty spot live price. But it is not working. Can you share any sample program model for the same?,Please refer to: - test_websocket_feed in tests.,,,,,,
Which API can give open orders details?,Please find below details:  https://github.com/Shoonya-Dev/ShoonyaApi-py#md-get_orderbook Status Type:: Possible Values are PENDING CANCELED OPEN REJECTED COMPLETE TRIGGER_PENDING INVALID_STATUS_TYPE,,,,,,
What are the limits for placing the order in API?,"Currently, in our API, we provide 20 orders per second per service instance & 200 orders per minute per service instance. Any third-party developers should not send more than 20 orders per second and 200 orders per minute to avoid any trading rejections.",,,,,,
Will Finvasia help me to code my trading strategies based on my logic?,Currently Finvasia does not provide such kind of services. You need to contact our Third-Party vendors for the same.,,,,,,
Do you have any curl-based codes?,"Yes, In the Shoonya REST API Backend we are using Curl-Based Codes.",,,,,,
What is the product Type for NRML in NSE Cash Market in APIs?,"You need to pass ""M"" in the API program for (NRML) in the NSE Cash market.",,,,,,
What should I feed to execute Banknifty future symbol in the API?,"Please find the examples provided on the shoonya python Git page under the WebSocket subscribe section.

https://github.com/Shoonya-Dev/ShoonyaApi-py#-searchscripexchange-searchtext",,,,,,
How can I check if my orders have been successfully executed or not from the Response Details?,"You will get a response ""Order has been successfully executed"".",,,,,,
Do you offer paper trading accounts for testing & development?,"Currently, we don't provide the paper trading facility, But we provide UAT Environment (User Authentication) for testing.

For more information, please contact us at apisupport@finvasia.in",,,,,,
What is the maximum number of tokens that I can subscribe to in the WebSocket?,There are no such restrictions.,,,,,,
How to close the WebSocket?,"Please refer to ""Example_market"".",,,,,,
What are the types of feed available in the WebSocket?,"There are three types of feeds: - Depth, Order & Authline.",,,,,,
What is the frequency of the feed in WebSocket?,The frequency will be the same as provided by Exchange.,,,,,,
How can I get market status (open or close) using WebSocket?,"Currently, this facility is not available. You can not check the market status in API.",,,,,,
What is the maximum number of tokens that I can subscribe to in the WebSocket?,"Currently, Finvasia does not provide such kind of services. You need to contact our Third-Party vendors for the same.",,,,,,
Do you have any curl-based codes?,"Yes, In the Shoonya REST API Backend we are using Curl-Based Codes.",,,,,,
What is the product Type for NRML in NSE Cash Market in APIs?,"You need to pass ""M"" in the API program for (NRML) in the NSE Cash market.",,,,,,
What should I feed to execute Banknifty future symbol in the API?,"Please find the examples provided on the shoonya python Git page under the WebSocket subscribe section.

https://github.com/Shoonya-Dev/ShoonyaApi-py#-searchscripexchange-searchtext",,,,,,
Can I integrate TradingView data using Shoonya APIs?,"Yes, you can integrate TradingView data using Shoonya APIs.",,,,,,
How can I check if my orders have been successfully executed or not from the Response Details? ,"You will get a response ""Order has been successfully executed"". ",,,,,,
Do you offer paper trading accounts for testing & development?,"Currently, we don't provide the paper trading facility, But we provide UAT Environment (User Authentication) for testing.

For more information, please contact us at apisupport@finvasia.in",,,,,,
"I want to run strategy for multiple accounts of my family, when I create an individual instance for each user, WebSockets does not work for all the users. How to fix it?",You can use the Threading functionality for multiple accounts.,,,,,,
"I am using DotNet API and getting the Response Data, stat Not OK emsg Session Expired User ID and Account ID, How to Fix it?",You need to mention User ID or Account ID in the respective field.,,,,,,
What is the product Type for Bracket Order (BO) in NSE Cash and Future Market in API?,"You need to pass ""B"" in the API program for Bracket Order (BO) in the NSE Cash and Future market.",,,,,,
What is the pip update command in Python?,"Please find the below pip update command:- 

python -m pip install -–upgrade pip
",,,,,,
,,,,,,,
What is the product Type for Cover Order ( CO ) in NSE Cash and Future Market in API?,What is the maximum number of tokens that I can subscribe to in the WebSocket?,,,,,,
How to get an option chain?,"Please find below details to get option chain: -
api.get_option_chain(""NFO"", ""NIFTY14JUL22P16000"", 16000, 5)
",,,,,,
How to use API for Multiple accounts in a single program?,"Please find below the Sample code:- 
tests/test_multi_user_sessions.py
",,,,,,
Does Shoonya API allow streaming of live prices?,"Yes, Shoonya offers a Websocket service to stream live prices across all segments and exchanges.",,,,,,
What Order Types can I use in Shoonya API?,"You can place an order using all order types available in the Shoonya app: - 
INTRADAY
CARRY FORWARD
AMO DELIVERY
GTT
Bracket Order
Cover Order
DELIVERY",,,,,,
Are Open Interest and Market Depth data available in Shoonya APIs?,"Yes, both Open Interest and Market Depth Data are available in Shoonya APIs.",,,,,,
Do I need to re-install APIs for every update?,"For every update, you need to run the pip install -r requirements.txt"" command. You need not uninstall previous version.",,,,,,
What are the naming convention of Trading Symbols in API?,"Please find below the naming convention of Trading Symbols: - 
For Commodity Options Futures
Name+Date+Month+Year+PE/CE+StrikePrice
CRUDEOIL17AUG22P11150
For Commodity Futures
Name+Date+Month+Year
ALUMINIUM29JUL22
For Equity Spot
Instrumentname+EQ for spot
RELIANCE-EQ
For Equity Options
Name+Date+Month+Year+PE/CE+Strike
DELTACORP28JUL22C110
For Equity Futures
Name+Date+Month+Year+FUT
BAJFINANCE30JUN22F
For Monthly Index Options (NIFTY, BANKNIFTY, FINNIFTY)
Name+Date+Month+Year+PE/CE+Strike
BANKNIFTY02AUG22P8150
For Monthly Index Futures (NIFTY, BANKNIFTY, FINNIFTY)
Name+Date+Month+Year+FUT
BANKNIFTY25AUG22F",,,,,,
How to subscribe to the NIFTY and BANKNIFTY index feed?,First search for the token of nifty or bank nifty using the search script method and then use token information and exchange to get the data.,,,,,,
How to fix the below errors in AMI Broker at the time of Login? ERR: WinHttpSendRequest: 12029: A connection with the server could not be established.,User needs to Disable Firewall Security of his Local System. ,,,,,,
"Do you provide ""Option Greeks"" through APIs?","Currently, we don't provide ""Option Greeks"" for APIs.",,,,,,
Does Finvasia (Shoonya) Developers APIs support options trading?,"Yes, we support options trading in APIs.",,,,,,
"What is the meaning of the error ""Code Service unavailable 503"" in APIs? ",Error Code Service unavailable 503 in API means the server is temporarily down. ,,,,,,
"How to fix the error ""User is Blocked for Trading""?",The user is blocked for trading means your client code is blocked due to multiple reasons. You can unblock your client code from the Shoonya app. ,,,,,,
"What is the difference between ""Trading APIs"" and ""Market Feeds APIs""?","Trading APIs are used to place orders.
Market Feeds APIs usually are used to get live ticks data for a particular symbol.
",,,,,,
What is the difference between FILLSHARES and FLQTY which are part of the order events?,"Please find below details: - 
FILLSHARES meaning is ""total"". 
FLQTY is ""incremental"". 
For example, the client has placed an order of 100 quantities. Trade filled for 20, 30, and 50. So three trade updates will come: - 
1st update fillshares = 20, flqty = 20
2nd update fillshares = 50, flqty = 30
3rd update fillshares = 100, flqty = 50",,,,,,
Can I run algo in C++ language using Finvasia Shoonya API?,"Yes, you can call our REST API.",,,,,,
"After Integration with the AMI broker, how to fix the continued order shoot problem?","One of the most important aspects of AFL is that it is an array processing language. It operates on arrays (or rows/vectors) of data. You will need to build guards into your AFL to avoid the signal for the same data repeatedly.
For more details, please find below details: - https://www.amibroker.com/guide/h_understandafl.html",,,,,,
What is the meaning of Rate Limit in APIs?,"The rate limit is how many times you can make a particular request to the API in a given period.
",,,,,,
How many parallel instances we can run with Shoonya APIs?,You can run multiple instances in python using the same super token. ,,,,,,
Can you provide any sample code to exit the running position at market price from Shoonya API?,"Please find the below sample code to exit the running position at market price from Shoonya API: - 
api.place_order(buy_or_sell='B', product_type='I',
exchange='NFO', tradingsymbol=symbol,
quantity=quantity, discloseqty=0,price_type='MKT', price=0, trigger_price=None,
retention='DAY', remarks='my_order_001')
",,,,,,
"I am trying to place a buy order using Shoonya API. But I don't have enough funds available. so the order is not placed successfully, but my place_order API still returns a success message. How to read the failure message from the API?","This success is for order placement, for order status you need to call single_order_history()",,,,,,
How to cancel all open MIS orders and exit all open MIS positions?,"Please find the below sample code: - 
a=api.positions()
a=pd.DataFrame(a)
for i in a.itertuples():
 if int(i.netqty)<0: api.place_order(buy_or_sell='B', product_type='I', exchange='NSE', tradingsymbol=i.tysm,  quantity=int(i.netqty), discloseqty=0,price_type='MKT', price=0, rigger_price=None,
 retention='DAY', remarks='my_order_001')
if int(i.netqty)>0: api.place_order(buy_or_sell='S', product_type='I', exchange='NSE', tradingsymbol=i.tysm,  quantity=int(i.netqty), discloseqty=0,price_type='MKT', price=0, trigger_price=None,retention='DAY', remarks='my_order_001')",,,,,,
"When I want to use curl-based Shoonya API, What should I need to do?","If You are doing integration via using curl-based Shoonya API, there will be the same Shoonya login credentials but you need to do SHA256 encryption of the API key & Login Password.",,,,,,
Is there any API that will allow us to exit from all positions?,"API is available only for closing a particular position. To exit all positions, You need to write your code.
",,,,,,
What is API for closing particulate positions?,"You can place an order function only. If you have a BUY position then place Sell Order. If you have a SELL position, then place a BUY order. If you want to close multiple positions at the same time, then you can use Multileg order. ",,,,,,
What is the parameter in .Net SDK for Market protection?,"The market protection field is already available. The user needs to add the percentage to LTP/BID/ASK and send it as the limit with a price. It's a synthetic type of Order.
",,,,,,
"I am getting the API Key error ""Session Expired: Invalid Session Key"" while placing my orders. What is the meaning of this error?",This error usually happens when the user does log in multiple times.,,,,,,
"Whenever I log in to the API, It gets None as a return in a response. How to know the reason for being unable?",Please check the error messages and ensure the log level should be debugged.,,,,,,
I want to make my automated strategy in Python language using your APIs. Can you guide me on how to start?,"Please refer to the below Shoonya APIs documents: -

https://finvasia.com/api-documentation
https://finvasia.com/static/finvasia/pdf/shoonya-Python-API.pdf",,,,,,
What is the Meaning of FT in python API?,FT stands for Feed Time & it is in the Mili seconds.,,,,,,
"How can I store multiple current LTP price to assign as a variable, for example: current LTP = 1 , LTP= 2 , LTP = 3, LTP=4, can it store respective LTP price in variable?","For storing LTP price in a variable, you can use a List or Arrays.",,,,,,
"I have my API key, but how to get my API secret key?","In our system, an API secret key is not required. The only API key is sufficient. ",,,,,,
What is the validity period of the Shoonya API Key?,The period of validity of the Shoonya API Key is unlimited.,,,,,,
Can I place a GTT (Good Till Trigger) order through APIs?,"Yes, you need to function the Call to our REST API.",,,,,,
How to add target and SL both at the same time using python Shoonya API?,You can do it through the BO (Bracket Order).,,,,,,
Is there any feature available in API to fetch IV (Implied Volatility) in the derivatives (FNO) segment?,"No, there is no such feature available in our API.",,,,,,
How many time intervals are nifty index open interest data updated?,Open Interest data is updated in 7-9 mins in the nifty index. ,,,,,,
Can we retrieve the order book and positions from the trading account to Amibroker?,"No, you cannot retrieve the order book and positions from the trading account to Amibroker.",,,,,,
"If we took a token in any APP, after that if we log in to the Shoonya app or web. Will the token remain the same or it will expire?","The Token will remain the same, this has nothing to do with the Shoonya app (Exe, Mob & Web) login.",,,,,,
How to build a bridge for MT4 or MT5 into the Finvasia trading platform?,"We only provide open APIs, you need to do the development yourself.",,,,,,
"I am getting an error while placing an order ""17181: undefined error code"". How to fix it?","This error message is from the exchange and is because of recent changes in the policy of market order handling by the exchange. The user will get a 17181 error code in any of the below scenarios:
1. LTP of the contract is zero
2. If there are no buyers/sellers3. If the spread is more than 20% from LTP

Please find below the NSE circular: - 

https://www1.nseindia.com/content/circulars/FAOP51600.pdf",,,,,,
"In Shoonya API, if ""place_order"" call fails then the python API is returning a None response. How can I get the error_msg for the same?","To know the order status, you need to run single_order_history() and check for 'status' in its return value or the rejection reason.",,,,,,
What are the endpoint URLs used in Shoonya APIs?,"Please find below the URL of the live endpoints: -
host='https://api.shoonya.com/NorenWClientTP/'
websocket='wss://api.shoonya.com/NorenWSTP/'
eodhost='https://api.shoonya.com/chartapi/getdata/'
",,,,,,
How can I get live volume details through Shoonya API?,You can get it through the quote update function.,,,,,,
How to execute basket orders using Shoonya API?,"Please check the below example in the GitHub repository: -

https://github.com/Shoonya-Dev/ShoonyaApi-py/commit/25df29cff91ddea43f3629e69fb27a6e2ff5768d",,,,,,
Do you support beginners Developers with programming support?,Shoonya API is purely an execution platform. We don't provide support or help for writing or developing strategies.,,,,,,
What is the link for downloading the Symbol Master in Shoonya APIs?,"Please find the below link following Symbol Master: -
NSE - Capital Market
https://api.shoonya.com/NSE_symbols.txt.zip
NSE - Equity Derivatives  https://api.shoonya.com/NFO_symbols.txt.zip
NSE - Currency Derivativeshttps://api.shoonya.com/CDS_symbols.txt.zip
BSE - Capital Market  https://api.shoonya.com/BSE_symbols.txt.zip
MCX - Commodity
https://api.shoonya.com/MCX_symbols.txt.zip
",,,,,,
What is the validity of a user token in API?,Validity of the user token will be valid until you hit logout.,,,,,,
How many WebSocket connections a user can have in Shoonya API?,Please take note that one user can only establish one connection with the websocket in the Shoonya API.,,,,,,
Are the session id and user token the same?,"Yes in terms of functionality, these are similar. 

The user token is used in all the subsequent requests after a successful login. e.g. getting client details, placing orders & holding, etc.",,,,,,
How to log in with Susertoken in Shoonya API?,You will get the token back when you log in for the first time. Reuse it for second and subsequent logins in other scripts.,,,,,,
"When I try to log in with TOTP in Shoonya API, I get an ""Invalid OTP"" error. How to fix this error?","You can get this error in two scenarios; first, you are not putting TOTP inside the time slot of 30 seconds. Secondly, this happens due to the non-sync of the phone and the system, i.e. the time of the system and the phone do not match.",,,,,,
I can get data through a WebSocket. But how do I stop the data from the WebSocket?,You can stop the data from the WebSocket by unsubscribing symbols.,,,,,,
How to use GTT with OCO in Shoonya API?,"It is not available in the official Shoonya API, but you can build it quickly by studying the JSON payload submitted to the API.",,,,,,
How many orders can I place via Shoonya API in a single day?,There is no limit to placing orders via Shoonya API.,,,,,,
What is the Limit to Get Quotes in Shoonya API?,"Currently, our API Get Quotes limit is 10 requests per second & 200 requests per minute.",,,,,,
